thrust time (ms),thrust (N),burn time (s),Pc (psi),Pc time (ms),burn time (s),Interpolated Pc,At (in$2),Ctau
1713734913444,941.43,4.26,370.38573,1713734911005,1.823,,,
1713734913456,940.28,4.272,370.30572,1713734911008,1.826,,,
1713734913469,940.34,4.285,370.25261,1713734911011,1.829,,,
1713734913476,940.27,4.292,370.20672,1713734911014,1.832,,,
1713734913489,939.52,4.305,370.07078,1713734911017,1.835,,,
1713734913501,940.67,4.317,369.91209,1713734911020,1.838,,,
1713734913509,941.28,4.325,370.0269,1713734911032,1.85,,,
1713734913522,939.37,4.338,369.90187,1713734911035,1.853,,,
1713734913534,940.56,4.35,369.74217,1713734911038,1.856,,,
1713734913542,940.54,4.358,369.63814,1713734911041,1.859,,,
1713734913554,938.74,4.37,369.58746,1713734911044,1.862,,,
1713734913569,939.53,4.385,369.42779,1713734911047,1.865,,,
1713734913575,937.15,4.391,369.30664,1713734911054,1.872,,,
1713734913587,940.36,4.403,369.09425,1713734911057,1.875,,,
1713734913599,939.61,4.415,369.06994,1713734911060,1.878,,,
1713734913608,940.1,4.424,368.86176,1713734911067,1.885,,,
1713734913620,940.9,4.436,369.00118,1713734911070,1.888,,,
1713734913632,941.46,4.448,368.66199,1713734911073,1.891,,,
1713734913640,938.7,4.456,368.48858,1713734911076,1.894,,,
1713734913652,939.03,4.468,368.60548,1713734911079,1.897,,,
1713734913661,940.34,4.477,368.62108,1713734911082,1.9,,,
1713734913673,941.76,4.489,368.55369,1713734911091,1.909,,,
1713734913685,941.11,4.501,368.45791,1713734911094,1.912,,,
1713734913694,940.01,4.51,368.31827,1713734911097,1.915,,,
1713734913706,940.69,4.522,368.32009,1713734911100,1.918,,,
1713734913725,941.3,4.541,368.42382,1713734911103,1.921,,,
1713734913726,940.22,4.542,368.39622,1713734911106,1.924,,,
1713734913739,940.59,4.555,368.50463,1713734911109,1.927,,,
1713734913751,941.05,4.567,368.47939,1713734911118,1.936,,,
1713734913759,940.34,4.575,368.4324,1713734911120,1.938,,,
1713734913771,941.2,4.587,368.16614,1713734911123,1.941,,,
1713734913784,942.17,4.6,368.02962,1713734911128,1.946,,,
1713734913792,940.8,4.608,367.91514,1713734911132,1.95,,,
1713734913804,940.03,4.62,367.95791,1713734911135,1.953,,,
1713734913816,939.16,4.632,368.05438,1713734911139,1.957,,,
1713734913825,939.76,4.641,368.03612,1713734911142,1.96,,,
